,Unnamed: 0,star_name,distance,mass,radius,name,light_years_from_earth,stellar_magnitude,discovery_date
123,123,DENIS-P J1228.2-1547,66.0,,,AU Microscopii b,32.0,8.81,2020
124,124,2M 1237+6526,45.6,41,0.94,AU Microscopii c,32.0,8.81,2021
125,125,2MASSW J1239272+551537 [de],119.0,,,b Centauri AB b,320.0,4.01,2021
126,126,TWA 29,262.0,25,2.0,BD-00 4475 b,139.0,9.01,2021
127,127,SDSSp J125453.90-012247.4 [de],38.0,47,0.98,BD+03 2562 b,3492.0,9.577,2017
128,128,Kelu-1A,61.0,63,0.98,BD-06 1339 b,66.0,9.7,2013
129,129,Kelu-1B,61.0,58,0.98,BD-06 1339 c,66.0,9.7,2013
130,130,2MASS J13204427+0409045,101.0,67,1.01,BD-08 2823 b,135.0,9.86,2009
131,131,SDSSp J132629.82-003831.5 [de],65.0,51,0.97,BD-08 2823 c,135.0,9.86,2009
132,132,SDSSp J134646.45-003150.4 [de],48.0,44,0.94,BD-10 3166 b,275.0,10.013,2000
133,133,2MASS J13595510-4034582,51.0,63,1.0,BD-11 4672 b,89.0,10.03,2014
134,134,ULAS J141623.94+134836.3,29.7,32,0.96,BD-11 4672 c,89.0,10.03,2020
135,135,SDSS J141659.78+500626.4 [de],149.0,59,0.99,BD-13 2130 b,3018.0,10.038,2007
136,136,DENIS-P J142527.97-365023.4 [de],38.0,21,1.32,BD+14 4559 b,161.0,9.78,2009
137,137,LHS 2924,38.5,76,1.06,BD+15 2375 b,2505.0,10.41,2016
138,138,2MASS J14392837+1929150,47.0,72,1.03,BD+15 2940 b,1391.0,9.01,2013
139,139,LSPM J1440+1339,72.0,92,1.19,BD-17 63 b,112.0,9.62,2008
140,140,2MASS J14482563+1031590 [de],47.0,59,0.99,BD+20 2457 b,5023.0,9.743,2009
141,141,CFBDSIR 1458+10A,104.0,11.1,1.5,BD+20 2457 c,5023.0,9.743,2009
142,142,CFBDSIR 1458+10B,104.0,9,1.3,BD+20 274 b,4314.0,9.367,2012
143,143,TVLM 513-46546,35.1,75,1.05,BD+20 594 b,585.0,10.849,2016
144,144,2MASS 1503+2525,20.7,44,0.94,BD+45 564 b,175.0,9.67,2021
145,145,CFBDS J150411+102717,71.0,44,0.94,BD+48 738 b,2843.0,9.139,2011
146,146,2MASSW J1506544+132106 [de],46.0,69,1.02,BD+48 740 b,2174.0,8.69,2018
147,147,2MASS 1507−1627,23.9,60,0.99,BD+49 828 b,1442.0,9.381,2015
148,148,TVLM 868-110639,53.0,79,1.08,BD+55 362 b,171.0,9.38,2021
149,149,SDSS J151114.66+060742.9 [de],89.0,,,BD+60 1417 b,147.0,9.374,2021
150,150,2MASSW J1515008+484742 [de],34.0,57,0.99,b Centauri AB b,320.0,4.01,2021
151,151,2MASSI J1526140+204341 [de],67.0,54,0.98,BD-00 4475 b,139.0,9.01,2021
152,152,DENIS-P J153941.96-052042.4 [de],51.0,63,1.0,BD+03 2562 b,3492.0,9.577,2017
153,153,2MASS J15462718-3325111 [de],37.0,44,0.94,BD-06 1339 b,66.0,9.7,2013
154,154,2MASSW J1552591+294849 [de],68.0,30,1.43,BD-06 1339 c,66.0,9.7,2013
155,155,2MASSW J1555157-095605 [de],44.0,71,1.03,BD-08 2823 b,135.0,9.86,2009
156,156,2MASS J16150413+1340079 [de],48.0,42,0.94,BD-08 2823 c,135.0,9.86,2009
157,157,SDSSp J162414.37+002915.6 [de],36.0,43,0.94,BD-10 3166 b,275.0,10.013,2000
158,158,2MASS J16262034+3925190 [de],110.0,71,1.03,BD-11 4672 b,89.0,10.03,2014
159,159,2MASSW J1632291+190441 [de],50.0,49,0.97,BD-11 4672 c,89.0,10.03,2020
160,160,WISEPA J164715.59+563208.2,28.0,41,0.94,BD-13 2130 b,3018.0,10.038,2007
161,161,LSPM J1658+7027 [de],60.0,73,1.04,BD+14 4559 b,161.0,9.78,2009
162,162,2MASSI J1726000+153819,114.0,24,1.4,BD+15 2375 b,2505.0,10.41,2016
163,163,2MASSW J1728114+394859,79.0,,,BD+15 2940 b,1391.0,9.01,2013
164,164,SDSSp J175032.96+175903.9,90.0,47,0.97,BD-17 63 b,112.0,9.62,2008
165,165,2MASS J18283572-4849046,39.0,45,0.95,BD+20 2457 b,5023.0,9.743,2009
166,166,LSR J1835+3259,18.5,77,1.07,BD+20 2457 c,5023.0,9.743,2009
167,167,2MASSW J1841086+311727,138.0,67,1.01,BD+20 274 b,4314.0,9.367,2012
168,168,2MASS J18432213+4040209,46.0,96,1.22,BD+20 594 b,585.0,10.849,2016
169,169,2MASS J20004841-7523070,105.0,25,1.88,BD+45 564 b,175.0,9.67,2021
170,170,SDSS J204749.61-071818.3,65.0,46,0.96,BD+48 738 b,2843.0,9.139,2011
171,171,2MASSI J2057540-025230,47.0,70,1.02,BD+48 740 b,2174.0,8.69,2018
172,172,2MASSW J2101154+175658,108.0,,,BD+49 828 b,1442.0,9.381,2015
173,173,2MASSI J2104149-103736,62.0,69,1.02,BD+55 362 b,171.0,9.38,2021
174,174,PSO J318.5−22,80.0,6.5,1.53,BD+60 1417 b,147.0,9.374,2021
175,175,HB 2124-4228,113.0,94,1.21,b Centauri AB b,320.0,4.01,2021
176,176,2MASS J21392676+0220226,32.1,46,0.96,BD-00 4475 b,139.0,9.01,2021
177,177,2MASS J21481628+4003593,26.3,55,0.99,BD+03 2562 b,3492.0,9.577,2017
178,178,2MASS J14112131-2119503,,,,BD-06 1339 b,66.0,9.7,2013
179,179,2MASSW J2206450-421721,93.0,22,1.33,BD-06 1339 c,66.0,9.7,2013
180,180,2MASSW J2208136+292121,154.0,27,1.41,BD-08 2823 b,135.0,9.86,2009
181,181,2MASSW J2224438-015852,38.0,61,0.99,BD-08 2823 c,135.0,9.86,2009
182,182,2MASS J22282889-4310262,35.0,42,0.94,BD-10 3166 b,275.0,10.013,2000
183,183,2MASS J22373255+3922398,64.0,73,1.04,BD-11 4672 b,89.0,10.03,2014
184,184,2MASSW J2244316+204343,56.0,12,1.29,BD-11 4672 c,89.0,10.03,2020
185,185,2MASS J23224684-3133231,56.0,24,1.39,BD-13 2130 b,3018.0,10.038,2007
186,186,2MASS J23225299-6151275,148.0,17,1.59,BD+14 4559 b,161.0,9.78,2009
187,187,2MASS J23515044-2537367,67.0,88,1.16,BD+15 2375 b,2505.0,10.41,2016
188,188,2MASSI J2356547-155310,74.0,80,1.09,BD+15 2940 b,1391.0,9.01,2013
189,189,WISE 0005+3737,23.2,,,BD-17 63 b,112.0,9.62,2008
190,190,WISE 0008-1739,87.1,,,BD+20 2457 b,5023.0,9.743,2009
191,191,WISE 0015-4615,48.6,,,BD+20 2457 c,5023.0,9.743,2009
192,192,WISE 0031-3840,71.8,,,BD+20 274 b,4314.0,9.367,2012
193,193,WISE 0032-4946,62.9,,,BD+20 594 b,585.0,10.849,2016
194,194,WISE 0038+2758,36.9,,,BD+45 564 b,175.0,9.67,2021
195,195,WISE 0038+8405,101.8,,,BD+48 738 b,2843.0,9.139,2011
196,196,WISE 0040+0900,47.6,,,BD+48 740 b,2174.0,8.69,2018
197,197,WISE 0049+0441,62.6,,,BD+49 828 b,1442.0,9.381,2015
198,198,WISE 0049+2151,24.1,,,BD+55 362 b,171.0,9.38,2021
199,199,WISE 0106+1518,142.9,,,BD+60 1417 b,147.0,9.374,2021
200,200,WISE 0123+4142,67.2,,,BD+63 1405 b,124.0,8.96,2021
201,201,WISE 0135+1715,77.3,,,Beta Cancri b,290.0,3.51012,2014
202,202,WISE 0138-0322,57.7,,,Beta Pictoris b,64.0,3.85,2008
203,203,WISE 0146+4234,20.5,,,Beta Pictoris c,64.0,3.85,2019
