,star_name,distance,mass,radius,name,light_years_from_earth,planet_mass,stellar_magnitude,discovery_date
321,WISE 1959-3338,37.2,,,EPIC 206032309 b,526,1.01 Earths,17.89,2019
322,WISE 2030+0749,34.2,,,EPIC 206042996 b,1474,3.53 Earths,16.59,2019
323,WISE 2014+0424,96.2,,,EPIC 206042996 c,1474,1.87 Earths,16.59,2021
324,WISE 2015+6646,50.6,,,EPIC 206215704 b,358,0.972 Earths,17.83,2019
325,WISE 2018-7423,47.9,,,DMPP-1 c,204,9.6 Earths,7.98,2019
326,WISE 2019-1148,42.4,,,DMPP-1 d,204,3.35 Earths,7.98,2019
327,WISE 2056+1459,24.5,,,DMPP-1 e,204,4.13 Earths,7.98,2019
328,WISE 2134-7137,42.7,,,DMPP-2 b,450,0.437 Jupiters,8.57,2019
329,WISE 2157+2659,61.6,,,DMPP-3 A b,148,2.58 Earths,9.066,2019
330,WISE 2209-2734,46,,,DP Leonis b,997,6.28 Jupiters,18.6837,2009
331,WISE 2213+0911,58.7,,,DS Tucanae A b,144,1.3 Jupiters,8.17,2019
332,WISE 2220-3628,26.4,,,EPIC 201170410.02,437,1.15 Earths,17.6984,2020
333,WISE 2226+0440,45,,,EPIC 201238110 b,520,4.16 Earths,16.014,2019
334,WISE 2237-0614,53.5,,,EPIC 201427007 b,2304,2.86 Earths,14.321,2021
335,WISE 2237+7228,46,,,EPIC 201497682 b,825,0.26 Earths,13.948,2019
336,WISE 2239+1617,59.7,,,EPIC 201595106 b,757,2.24 Earths,11.746,2021
337,WISE 2255-3118,44.7,,,EPIC 201615463 c,1556,1.98 Earths,12.081,2019
338,WISE 2301+0216,60.7,,,EPIC 201754305 d,1093,1.08 Earths,14.668,2019
339,WISE 2313-8037,35.9,,,EPIC 201757695.02,1884,0.688 Earths,14.974,2020
340,WISE 2319-1844,52.2,,,EPIC 201833600 c,840,0.972 Earths,14.705,2019
341,WISE 2325-4105,37.5,,,EPIC 201841433 b,1424,1.12 Earths,14.983,2019
342,WISE 2327-2730,70.8,,,EPIC 205950854 c,796,2.27 Earths,12.365,2019
343,WISE 2335+4222,90.3,,,EPIC 206024342 b,1207,3.53 Earths,13.096,2019
344,WISE 2340-0745,37.8,,,EPIC 206024342 c,1207,2.54 Earths,13.096,2021
345,WISE 2342+0856,51.2,,,EPIC 206024342 d,1207,7.27 Earths,13.096,2021
346,WISE 2343-7418,48.6,,,EPIC 206032309 b,526,1.01 Earths,17.89,2019
347,WISE 2344+1034,46,,,EPIC 206042996 b,1474,3.53 Earths,16.59,2019
348,WISE 2348-1028,54.1,,,EPIC 206042996 c,1474,1.87 Earths,16.59,2021
349,WISE 2357+1227,54.8,,,EPIC 206215704 b,358,0.972 Earths,17.83,2019
350,WISE 2359-7335,42.7,,,DMPP-1 c,204,9.6 Earths,7.98,2019
351,WISEA 1101+5400,111,,,DMPP-1 d,204,3.35 Earths,7.98,2019
352,2M1510,120,40 + 39 + ?,,DMPP-1 e,204,4.13 Earths,7.98,2019
